FIPS Code,State,Area name,2003 Rural-urban Continuum Code,2003 Urban Influence Code,2013 Rural-urban Continuum Code,2013 Urban Influence Code,"Four years of college or higher, 1970","Percent of adults completing four years of college or higher, 1970","Four years of college or higher, 1980","Percent of adults completing four years of college or higher, 1980","Bachelor's degree or higher, 1990","Percent of adults with a bachelor's degree or higher, 1990","Bachelor's degree or higher, 2000","Percent of adults with a bachelor's degree or higher, 2000","Bachelor's degree or higher, 2015-19","Percent of adults with a bachelor's degree or higher, 2015-19"
0,US,United States,,,,,"11,717,266",10.7,"21,558,480",16.2,"32,310,253",20.3,"44,462,605",24.4,"70,920,162",32.1
1000,AL,Alabama,,,,,"141,936",7.8,"270,063",12.2,"399,228",15.7,"549,608",19,"845,772",25.5
1001,AL,Autauga County,2,2,2,2,767,6.4,"2,117",12.1,"3,026",14.5,"4,972",18,"9,929",26.6
1003,AL,Baldwin County,4,5,3,2,"2,038",6.5,"5,498",12.1,"10,870",16.8,"22,146",23.1,"48,148",31.9
1005,AL,Barbour County,6,6,6,6,861,7.3,"1,300",9.2,"1,857",11.8,"2,068",10.9,"2,080",11.6
1007,AL,Bibb County,1,1,1,1,302,4.2,433,4.9,476,4.7,962,7.1,"1,678",10.4
1009,AL,Blount County,1,1,1,1,404,2.7,"1,144",5.3,"1,773",7,"3,235",9.6,"5,210",13.1
1011,AL,Bullock County,6,6,6,6,314,5.4,516,8.8,676,10,586,7.7,856,12.1
1013,AL,Butler County,6,6,6,6,541,4.6,"1,029",8.2,"1,083",8,"1,433",10.4,"2,230",16.1
1015,AL,Calhoun County,3,2,3,2,"3,921",7.5,"7,213",11,"10,266",14.2,"11,265",15.2,"14,620",18.5
1017,AL,Chambers County,6,5,6,5,847,4.2,"1,710",7.4,"2,101",8.9,"2,339",9.5,"3,163",13.3
1019,AL,Cherokee County,8,6,6,6,329,3.8,712,6.3,866,6.7,"1,636",9.7,"2,407",12.8
1021,AL,Chilton County,1,1,1,1,415,3,"1,158",6.5,"1,550",7.5,"2,574",9.9,"3,823",12.7
1023,AL,Choctaw County,9,10,9,10,362,4.3,640,7,836,8.5,"1,013",9.6,"1,113",11.9
1025,AL,Clarke County,7,11,7,11,738,5.5,"1,344",8.9,"1,755",10.8,"2,137",12.1,"2,050",12.2
1027,AL,Clay County,9,10,9,10,311,4.3,479,5.9,628,7.3,763,7.8,999,10.6
1029,AL,Cleburne County,8,4,8,4,162,2.7,431,5.8,529,6.5,879,9.2,"1,616",15.4
1031,AL,Coffee County,6,5,4,5,"1,040",5.8,"2,766",12.2,"4,274",16.5,"5,574",19.3,"8,044",22.8
1033,AL,Colbert County,3,2,3,2,"1,554",5.8,"3,034",9.4,"3,956",11.5,"5,273",14.1,"7,070",18.1
1035,AL,Conecuh County,9,11,7,11,342,4.1,556,6.2,574,6.4,851,9.2,"1,128",12.8
1037,AL,Coosa County,8,7,8,3,196,3.4,237,3.6,456,6.3,663,8,"1,059",12.8
1039,AL,Covington County,7,9,6,6,918,4.7,"1,636",7.1,"2,198",9.1,"3,142",12.2,"4,020",15.3
1041,AL,Crenshaw County,8,6,8,6,296,3.9,576,6.8,740,8.4,"1,039",11.2,"1,687",17.4
1043,AL,Cullman County,6,3,4,3,"1,113",3.9,"2,671",7.3,"3,405",7.8,"6,162",11.9,"8,004",13.9
