FIPS Code,State,Area name,"Percent of adults completing four years of college or higher, 1970","Percent of adults completing four years of college or higher, 1980","Percent of adults with a bachelor's degree or higher, 1990","Percent of adults with a bachelor's degree or higher, 2000","Percent of adults with a bachelor's degree or higher, 2015-19"
1001,AL,Autauga County,6.4,12.1,14.5,18,26.6
1003,AL,Baldwin County,6.5,12.1,16.8,23.1,31.9
1005,AL,Barbour County,7.3,9.2,11.8,10.9,11.6
1007,AL,Bibb County,4.2,4.9,4.7,7.1,10.4
1009,AL,Blount County,2.7,5.3,7,9.6,13.1
1011,AL,Bullock County,5.4,8.8,10,7.7,12.1
1013,AL,Butler County,4.6,8.2,8,10.4,16.1
1015,AL,Calhoun County,7.5,11,14.2,15.2,18.5
1017,AL,Chambers County,4.2,7.4,8.9,9.5,13.3
1019,AL,Cherokee County,3.8,6.3,6.7,9.7,12.8
1021,AL,Chilton County,3,6.5,7.5,9.9,12.7
1023,AL,Choctaw County,4.3,7,8.5,9.6,11.9
1025,AL,Clarke County,5.5,8.9,10.8,12.1,12.2
1027,AL,Clay County,4.3,5.9,7.3,7.8,10.6
1029,AL,Cleburne County,2.7,5.8,6.5,9.2,15.4
1031,AL,Coffee County,5.8,12.2,16.5,19.3,22.8
1033,AL,Colbert County,5.8,9.4,11.5,14.1,18.1
1035,AL,Conecuh County,4.1,6.2,6.4,9.2,12.8
1037,AL,Coosa County,3.4,3.6,6.3,8,12.8
1039,AL,Covington County,4.7,7.1,9.1,12.2,15.3
1041,AL,Crenshaw County,3.9,6.8,8.4,11.2,17.4
1043,AL,Cullman County,3.9,7.3,7.8,11.9,13.9
1045,AL,Dale County,9,11.6,13.5,14,18.1
1047,AL,Dallas County,8.8,11.3,12.2,13.9,14.7
1049,AL,DeKalb County,3.7,5.7,7.1,8.3,13
1051,AL,Elmore County,5.4,10.3,12.8,16.6,25.1
1053,AL,Escambia County,4.8,7.2,7.6,10.6,12.5
1055,AL,Etowah County,5.2,8.9,10.2,13.4,17.8
1057,AL,Fayette County,3.8,7.3,8.5,9.2,12.4
1059,AL,Franklin County,3.4,6,6.9,9.7,14
1061,AL,Geneva County,4.5,5.9,6.8,8.7,12.5
1063,AL,Greene County,6.5,9.6,10.4,10.5,10.1
1065,AL,Hale County,5,6.7,8.9,8.1,14.2
1067,AL,Henry County,4.8,8.6,8.2,14.1,17.1
1069,AL,Houston County,7,12.7,15,18.4,21.7
1071,AL,Jackson County,3.4,6.8,8,10.4,14
1073,AL,Jefferson County,9.5,15.8,19.9,24.6,33.4
1075,AL,Lamar County,3.4,5.9,6.2,7.8,11.9
1077,AL,Lauderdale County,8.3,13,16.4,18.5,23.5
1079,AL,Lawrence County,2.4,4,6.2,7.5,12.6
1081,AL,Lee County,16.6,21.6,25.3,27.9,35.3
1083,AL,Limestone County,6.2,8.7,13.8,16.9,25.7
1085,AL,Lowndes County,5,6.8,8.2,11,14.7
